,year,electorate_id,electorate_name,party,votes,percentage
0,2017,2014_00,Auckland Central,ACT,317,0.010564201686273204
1,2017,2014_00,Auckland Central,CON,29,0.0009664411637284634
2,2017,2014_00,Auckland Central,GRN,4170,0.13896757423267905
3,2017,2014_00,Auckland Central,LAB,11340,0.3779118205751991
4,2017,2014_00,Auckland Central,MIN,115,0.0038324390975439065
5,2017,2014_00,Auckland Central,MNA,12,0.00039990668843936417
6,2017,2014_00,Auckland Central,NAT,11773,0.39234178691638616
7,2017,2014_00,Auckland Central,NZF,1165,0.03882427433598827
8,2017,2014_00,Auckland Central,TOP,944,0.03145932615722998
9,2017,2014_00,Auckland Central,TPM,123,0.004099043556503482
10,2017,2014_00,Auckland Central,UNF,19,0.0006331855900289932
11,2017,2014_01,Bay of Plenty,ACT,206,0.004857344965809951
12,2017,2014_01,Bay of Plenty,CON,106,0.0024994105163876445
13,2017,2014_01,Bay of Plenty,GRN,1708,0.04027352039613299
14,2017,2014_01,Bay of Plenty,LAB,10817,0.25505776939401087
15,2017,2014_01,Bay of Plenty,MIN,239,0.0056354633341193115
16,2017,2014_01,Bay of Plenty,MNA,7,0.00016505541145956143
17,2017,2014_01,Bay of Plenty,NAT,23164,0.546191935864183
18,2017,2014_01,Bay of Plenty,NZF,4568,0.10771044564961094
19,2017,2014_01,Bay of Plenty,TOP,1349,0.03180853572270691
20,2017,2014_01,Bay of Plenty,TPM,214,0.005045979721763735
21,2017,2014_01,Bay of Plenty,UNF,32,0.0007545390238151379
22,2017,2014_02,Botany,ACT,209,0.005951533445339864
23,2017,2014_02,Botany,CON,91,0.0025913375288321894
24,2017,2014_02,Botany,GRN,841,0.023948514964262323
25,2017,2014_02,Botany,LAB,10279,0.29270723581171515
26,2017,2014_02,Botany,MIN,129,0.003673434518893983
27,2017,2014_02,Botany,MNA,12,0.00034171483896688215
28,2017,2014_02,Botany,NAT,21428,0.6101887974485292
29,2017,2014_02,Botany,NZF,1612,0.0459036933678845
30,2017,2014_02,Botany,TOP,288,0.008201156135205171
31,2017,2014_02,Botany,TPM,195,0.005552866133211835
32,2017,2014_02,Botany,UNF,33,0.0009397158071589259
33,2017,2014_03,Christchurch Central,ACT,155,0.0043384555098384976
34,2017,2014_03,Christchurch Central,CON,94,0.0026310633414504438
35,2017,2014_03,Christchurch Central,GRN,3492,0.09774120413132925
36,2017,2014_03,Christchurch Central,LAB,14541,0.40700310689394575
37,2017,2014_03,Christchurch Central,MIN,179,0.005010216362974781
38,2017,2014_03,Christchurch Central,MNA,11,0.0003078903910207966
39,2017,2014_03,Christchurch Central,NAT,13956,0.3906289360987488
40,2017,2014_03,Christchurch Central,NZF,1869,0.05231337643798808
41,2017,2014_03,Christchurch Central,TOP,1246,0.03487558429199205
42,2017,2014_03,Christchurch Central,TPM,139,0.003890614941080975
43,2017,2014_03,Christchurch Central,UNF,45,0.0012595515996305315
44,2017,2014_04,Christchurch East,ACT,116,0.003340148003109793
45,2017,2014_04,Christchurch East,CON,156,0.004491923176595928
46,2017,2014_04,Christchurch East,GRN,2343,0.06746523078695038
47,2017,2014_04,Christchurch East,LAB,16414,0.47263094244003573
48,2017,2014_04,Christchurch East,MIN,214,0.006161997178150825
49,2017,2014_04,Christchurch East,MNA,3,8.638313801146016e-05
50,2017,2014_04,Christchurch East,NAT,12319,0.3547179590543926
51,2017,2014_04,Christchurch East,NZF,2194,0.06317486826571453
52,2017,2014_04,Christchurch East,TOP,807,0.023237064125082783
53,2017,2014_04,Christchurch East,TPM,133,0.0038296524518414005
54,2017,2014_04,Christchurch East,UNF,30,0.0008638313801146016
55,2017,2014_05,Clutha-Southland,ACT,141,0.0038125625287294164
56,2017,2014_05,Clutha-Southland,CON,75,0.002027958791877349
57,2017,2014_05,Clutha-Southland,GRN,1654,0.04472325122353514
58,2017,2014_05,Clutha-Southland,LAB,8960,0.2422734770029473
59,2017,2014_05,Clutha-Southland,MIN,316,0.008544466376443231
60,2017,2014_05,Clutha-Southland,MNA,4,0.00010815780223345862
61,2017,2014_05,Clutha-Southland,NAT,21915,0.5925695589865614
62,2017,2014_05,Clutha-Southland,NZF,2900,0.0784144066192575
63,2017,2014_05,Clutha-Southland,TOP,894,0.024173268799178
64,2017,2014_05,Clutha-Southland,TPM,95,0.002568747803044642
65,2017,2014_05,Clutha-Southland,UNF,29,0.0007841440661925749
66,2017,2014_06,Coromandel,ACT,174,0.004091229720197508
67,2017,2014_06,Coromandel,CON,66,0.0015518457559369856
68,2017,2014_06,Coromandel,GRN,2259,0.05311544791911592
69,2017,2014_06,Coromandel,LAB,11820,0.2779214671996238
70,2017,2014_06,Coromandel,MIN,357,0.008394074770750059
71,2017,2014_06,Coromandel,MNA,11,0.00025864095932283095
72,2017,2014_06,Coromandel,NAT,21786,0.5122501763461086
73,2017,2014_06,Coromandel,NZF,5216,0.12264284034798965
74,2017,2014_06,Coromandel,TOP,728,0.01711732894427463
75,2017,2014_06,Coromandel,TPM,100,0.0023512814483893723
76,2017,2014_06,Coromandel,UNF,13,0.0003056665882906184
77,2017,2014_07,Dunedin North,ACT,157,0.004209228129440468
78,2017,2014_07,Dunedin North,CON,60,0.0016086222150727902
79,2017,2014_07,Dunedin North,GRN,5110,0.1370009919836993
80,2017,2014_07,Dunedin North,LAB,17808,0.47743907343360414
81,2017,2014_07,Dunedin North,MIN,200,0.0053620740502426335
82,2017,2014_07,Dunedin North,MNA,11,0.00029491407276334484
