,year,electorate_id,electorate_name,party_votes,candidate_votes,registered_voters,total_voters
0,2020,2020_00,Auckland Central,36243,35603,43627,62919
1,2020,2020_01,Banks Peninsula,49710,48909,56249,68134
2,2020,2020_02,Bay of Plenty,45318,44603,52678,64223
3,2020,2020_03,Botany,37615,36253,51418,65124
4,2020,2020_04,Christchurch Central,40423,39670,48499,65571
5,2020,2020_05,Christchurch East,40760,39878,48915,63850
6,2020,2020_06,Coromandel,47227,46532,55202,64568
7,2020,2020_07,Dunedin,45814,44981,53002,67167
8,2020,2020_08,East Coast,42483,41431,52626,66175
9,2020,2020_09,East Coast Bays,38195,37309,48711,64635
10,2020,2020_10,Epsom,41828,41024,51074,62147
11,2020,2020_11,Hamilton East,39626,38883,48843,67683
12,2020,2020_12,Hamilton West,40147,39034,49979,67010
13,2020,2020_13,Hutt South,45625,44908,53376,66564
14,2020,2020_14,Ilam,43397,42567,51466,67502
15,2020,2020_15,Invercargill,40030,39412,48734,64992
16,2020,2020_16,Kaikōura,42955,42332,50286,64383
17,2020,2020_17,Kaipara ki Mahurangi,45769,44822,53091,65280
18,2020,2020_18,Kelston,35330,34404,46306,62689
19,2020,2020_19,Mana,43164,42136,51795,65980
20,2020,2020_20,Māngere,31237,29982,46681,65515
21,2020,2020_21,Manurewa,29953,28499,43954,66763
22,2020,2020_22,Maungakiekie,37229,36233,46924,62072
23,2020,2020_23,Mt Albert,41439,40835,49486,60531
24,2020,2020_24,Mt Roskill,38162,37275,50648,66303
25,2020,2020_25,Napier,41704,41035,49787,63257
26,2020,2020_26,Nelson,44359,43894,51719,64019
27,2020,2020_27,New Lynn,41887,40927,51631,67217
28,2020,2020_28,New Plymouth,44149,43502,53016,66810
29,2020,2020_29,North Shore,42319,41571,51338,65331
30,2020,2020_30,Northcote,40070,39220,49862,65249
31,2020,2020_31,Northland,45467,44784,54621,67803
32,2020,2020_32,Ōhāriu,43633,43050,50142,62261
33,2020,2020_33,Ōtaki,45707,44891,53130,63263
34,2020,2020_34,Pakuranga,37335,36403,47643,62498
35,2020,2020_35,Palmerston North,38829,37803,46633,62127
36,2020,2020_36,Panmure-Ōtāhuhu,31130,29639,46868,67234
37,2020,2020_37,Papakura,40026,38856,48555,61820
38,2020,2020_38,Port Waikato,40533,39681,48256,59225
39,2020,2020_39,Rangitata,42464,42013,50472,67816
40,2020,2020_40,Rangitīkei,41763,40877,49029,63668
41,2020,2020_41,Remutaka,43292,42611,51936,67028
42,2020,2020_42,Rongotai,45390,44619,52325,62897
43,2020,2020_43,Rotorua,38228,37450,47041,63585
44,2020,2020_44,Selwyn,42974,42351,48411,62209
45,2020,2020_45,Southland,39487,38753,45936,65088
46,2020,2020_46,Taieri,44775,44176,52520,65309
47,2020,2020_47,Takanini,36405,34862,49563,66306
48,2020,2020_48,Tāmaki,41653,40711,49935,61742
49,2020,2020_49,Taranaki-King Country,40686,39667,48154,63450
50,2020,2020_50,Taupō,44131,43150,52945,68078
51,2020,2020_51,Tauranga,43814,43070,51718,66787
52,2020,2020_52,Te Atatū,38083,36916,49345,67421
53,2020,2020_53,Tukituki,42040,41300,50937,66560
54,2020,2020_54,Upper Harbour,40379,39222,51911,66240
55,2020,2020_55,Waikato,41254,40173,49128,64265
56,2020,2020_56,Waimakariri,46467,45830,53658,65942
57,2020,2020_57,Wairarapa,44985,44391,52797,64402
58,2020,2020_58,Waitaki,44164,43536,50521,64983
59,2020,2020_59,Wellington Central,47914,47401,54037,64272
60,2020,2020_60,West Coast-Tasman,43347,42827,50934,63677
61,2020,2020_61,Whanganui,41055,40010,50003,64175
62,2020,2020_62,Whangaparāoa,45498,44728,53087,65847
63,2020,2020_63,Whangārei,44291,43673,53209,67131
64,2020,2020_64,Wigram,38890,38118,47244,66396
65,2020,2020_65,Hauraki-Waikato,24537,23356,37031,67522
66,2020,2020_66,Ikaroa-Rāwhiti,25412,24551,38803,66474
67,2020,2020_67,Tāmaki Makaurau,26301,25018,41521,66860
68,2020,2020_68,Te Tai Hauāuru,25849,24952,37962,68032
69,2020,2020_69,Te Tai Tokerau,27318,26303,40316,68173
70,2020,2020_70,Te Tai Tonga,29465,28326,40054,68874
71,2020,2020_71,Waiariki,27282,26486,40326,67111
