Part IX - General Statistics - Electorate Candidate and Informal Votes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Electorate Candidate Votes Cast,,,,,,,,,,,,Percentage of,,
,Valid Votes Cast,,,Informal Votes Cast,,,,,,,,,,,
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),Special Votes Disallowed,Total Votes Cast (c)+(f)+(g),,Electors on Master Roll,Electoral Population,,Votes Cast to Electors on Master Roll,Valid Votes Recorded for Candidate Elected,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),(g),(h),,(i),(j),,(h:i),,(f:c+d)
Albany,"30,533","3,569","34,102",424,88,512,592,"35,206",,"41,815","55,007",,84.19%,40.18%,1.48%
Aoraki,"31,811","2,016","33,827",481,30,511,225,"34,563",,"39,665","54,106",,87.14%,51.48%,1.49%
Auckland Central,"27,056","5,584","32,640",400,105,505,"1,181","34,326",,"39,934","53,034",,85.96%,38.74%,1.52%
Banks Peninsula,"33,791","3,588","37,379",346,44,390,402,"38,171",,"42,584","54,694",,89.64%,41.40%,1.03%
Bay of Plenty,"30,988","3,320","34,308",396,52,448,763,"35,519",,"41,630","51,893",,85.32%,46.00%,1.29%
Christchurch Central,"28,623","4,009","32,632",467,86,553,710,"33,895",,"40,083","56,539",,84.56%,52.80%,1.67%
Christchurch East,"29,341","2,627","31,968",465,48,513,491,"32,972",,"38,061","52,728",,86.63%,56.80%,1.58%
Clutha-Southland,"28,258","2,237","30,495",444,37,481,259,"31,235",,"37,167","54,441",,84.04%,51.22%,1.55%
Coromandel,"31,337","2,883","34,220",618,42,660,478,"35,358",,"40,278","52,800",,87.78%,39.98%,1.89%
Dunedin North,"26,556","4,671","31,227",311,73,384,417,"32,028",,"36,885","54,353",,86.83%,60.38%,1.21%
Dunedin South,"33,076","2,412","35,488",653,44,697,356,"36,541",,"41,686","56,332",,87.66%,50.90%,1.93%
East Coast,"24,972","1,955","26,927",593,49,642,528,"28,097",,"33,275","51,220",,84.44%,49.73%,2.33%
Epsom,"29,059","4,502","33,561",385,85,470,656,"34,687",,"40,316","55,254",,86.04%,36.83%,1.38%
Hamilton East,"28,672","3,852","32,524",487,84,571,668,"33,763",,"39,443","53,606",,85.60%,44.06%,1.73%
Hamilton West,"28,330","3,414","31,744",521,83,604,690,"33,038",,"39,305","55,828",,84.06%,44.57%,1.87%
Hunua,"28,387","2,969","31,356",533,73,606,515,"32,477",,"38,326","54,795",,84.74%,48.07%,1.90%
Hutt South,"28,923","2,801","31,724",520,59,579,811,"33,114",,"37,576","54,689",,88.13%,54.86%,1.79%
Ilam,"29,759","3,605","33,364",551,84,635,498,"34,497",,"39,472","53,725",,87.40%,47.99%,1.87%
Invercargill,"29,413","2,068","31,481",398,33,431,330,"32,242",,"37,303","54,208",,86.43%,57.08%,1.35%
Kaikoura,"29,862","2,217","32,079",536,42,578,391,"33,048",,"38,550","51,414",,85.73%,38.07%,1.77%
Karapiro,"28,264","2,235","30,499",773,67,840,361,"31,700",,"38,167","53,782",,83.06%,43.72%,2.68%
Mana,"26,770","3,214","29,984",345,51,396,776,"31,156",,"34,968","52,583",,89.10%,46.95%,1.30%
Mangere,"20,290","2,869","23,159",810,137,947,"1,071","25,177",,"32,851","53,331",,76.64%,68.60%,3.93%
Manukau East,"25,922","3,534","29,456",647,119,766,"1,203","31,425",,"40,490","53,413",,77.61%,55.08%,2.53%
Manurewa,"23,582","3,251","26,833",737,112,849,"1,335","29,017",,"35,815","55,739",,81.02%,67.15%,3.07%
