Part IX - General Statistics - Party and Informal Votes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Party Votes Cast,,,,,,,,,,,,Percentage of,,
,Valid Votes Cast,,,Informal Votes Cast,,,,,,,,,,,
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),Special Votes Disallowed,Total Votes Cast (c)+(f)+(g),,Electors on Master Roll,Electoral Population,,Votes Cast to Electors on Master Roll,Informal Votes Recorded,
,(a),(b),(c),(d),(e),(f),(g),(h),,(i),(j),,(h:i),(f:c+f),
Albany,"30,828","3,637","34,465",129,20,149,592,"35,206",,"41,815","55,007",,84.19%,0.43%,
Aoraki,"31,995","2,030","34,025",297,16,313,225,"34,563",,"39,665","54,106",,87.14%,0.91%,
Auckland Central,"27,237","5,648","32,885",219,41,260,"1,181","34,326",,"39,934","53,034",,85.96%,0.78%,
Banks Peninsula,"33,923","3,609","37,532",214,23,237,402,"38,171",,"42,584","54,694",,89.64%,0.63%,
Bay of Plenty,"31,139","3,345","34,484",245,27,272,763,"35,519",,"41,630","51,893",,85.32%,0.78%,
Christchurch Central,"28,848","4,070","32,918",242,25,267,710,"33,895",,"40,083","56,539",,84.56%,0.80%,
Christchurch East,"29,552","2,660","32,212",254,15,269,491,"32,972",,"38,061","52,728",,86.63%,0.83%,
Clutha-Southland,"28,389","2,248","30,637",313,26,339,259,"31,235",,"37,167","54,441",,84.04%,1.09%,
Coromandel,"31,625","2,902","34,527",330,23,353,478,"35,358",,"40,278","52,800",,87.78%,1.01%,
Dunedin North,"26,700","4,735","31,435",167,9,176,417,"32,028",,"36,885","54,353",,86.83%,0.56%,
Dunedin South,"33,393","2,434","35,827",336,22,358,356,"36,541",,"41,686","56,332",,87.66%,0.99%,
East Coast,"25,309","1,987","27,296",256,17,273,528,"28,097",,"33,275","51,220",,84.44%,0.99%,
Epsom,"29,291","4,563","33,854",153,24,177,656,"34,687",,"40,316","55,254",,86.04%,0.52%,
