Part IV - Electorate Summary of Party Votes with Percentages,,,,,,,,,,,,,,,,,
Electoral District,ACT NEW ZEALAND,,ALLIANCE,,GREEN PARTY,,LABOUR PARTY,,NATIONAL PARTY,,NEW ZEALAND FIRST PARTY,,UNITED NZ,,OTHER,,Total Valid Votes
,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,
Albany,"4,232",12.28,"1,967",5.71,"1,529",4.44,"10,271",29.8,"13,583",39.41,"1,033",3,233,0.68,"1,617",4.69,"34,465"
Aoraki,"1,694",4.98,"2,881",8.47,"1,505",4.42,"14,413",42.36,"10,393",30.55,992,2.92,137,0.4,"2,010",5.91,"34,025"
Auckland Central,"2,929",8.91,"2,321",7.06,"4,235",12.88,"13,647",41.5,"7,747",23.56,671,2.04,130,0.4,"1,205",3.66,"32,885"
Banks Peninsula,"2,530",6.74,"2,844",7.58,"2,739",7.3,"14,018",37.35,"12,643",33.69,788,2.1,212,0.56,"1,758",4.68,"37,532"
Bay of Plenty,"2,138",6.2,"1,769",5.13,"1,847",5.36,"11,342",32.89,"11,350",32.91,"3,178",9.22,181,0.52,"2,679",7.77,"34,484"
Christchurch Central,"1,731",5.26,"3,369",10.23,"2,421",7.35,"13,407",40.73,"8,887",27,880,2.67,154,0.47,"2,069",6.29,"32,918"
Christchurch East,"1,127",3.5,"3,665",11.38,"1,568",4.87,"15,084",46.83,"7,816",24.26,719,2.23,143,0.44,"2,090",6.49,"32,212"
Clutha-Southland,"2,260",7.38,"1,883",6.15,935,3.05,"9,182",29.97,"12,882",42.05,"1,043",3.4,112,0.37,"2,340",7.64,"30,637"
Coromandel,"2,187",6.33,"2,241",6.49,"2,640",7.65,"12,390",35.88,"10,747",31.13,"2,406",6.97,156,0.45,"1,760",5.1,"34,527"
Dunedin North,"1,485",4.72,"3,902",12.41,"2,336",7.43,"15,052",47.88,"6,427",20.45,401,1.28,151,0.48,"1,681",5.35,"31,435"
Dunedin South,"1,228",3.43,"4,192",11.7,"1,440",4.02,"18,099",50.52,"8,158",22.77,758,2.12,149,0.42,"1,803",5.03,"35,827"
East Coast,"1,784",6.54,"2,481",9.09,"1,164",4.26,"10,348",37.91,"8,608",31.54,"1,366",5,74,0.27,"1,471",5.39,"27,296"
Epsom,"5,551",16.4,"1,133",3.35,"1,946",5.75,"8,583",25.35,"14,626",43.2,783,2.31,191,0.56,"1,041",3.07,"33,854"
Hamilton East,"2,993",9.13,"2,394",7.3,"1,712",5.22,"10,738",32.74,"11,620",35.43,"1,293",3.94,163,0.5,"1,884",5.74,"32,797"
Hamilton West,"2,414",7.54,"2,604",8.13,"1,366",4.27,"11,769",36.75,"10,491",32.76,"1,376",4.3,103,0.32,"1,903",5.94,"32,026"
Hunua,"3,543",11.18,"1,778",5.61,"1,363",4.3,"9,430",29.75,"12,118",38.23,"1,561",4.93,183,0.58,"1,718",5.42,"31,694"
Hutt South,"2,085",6.51,"2,454",7.67,"1,465",4.58,"13,502",42.18,"9,678",30.23,786,2.46,201,0.63,"1,840",5.75,"32,011"
Ilam,"3,385",10.05,"2,159",6.41,"1,474",4.37,"9,669",28.7,"14,168",42.05,810,2.4,248,0.74,"1,780",5.28,"33,693"
Invercargill,"1,051",3.33,"3,132",9.91,974,3.08,"14,196",44.93,"9,453",29.92,875,2.77,86,0.27,"1,828",5.79,"31,595"
Kaikoura,"2,134",6.59,"2,717",8.39,"2,168",6.7,"11,357",35.09,"10,688",33.02,"1,161",3.59,186,0.57,"1,954",6.04,"32,365"
Karapiro,"3,069",9.89,"2,263",7.29,"1,160",3.74,"8,551",27.56,"12,106",39.02,"1,971",6.35,123,0.4,"1,781",5.74,"31,024"
Mana,"1,606",5.33,"2,351",7.8,"1,390",4.61,"13,394",44.42,"8,653",28.7,694,2.3,309,1.02,"1,755",5.82,"30,152"
